Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Greece,GRC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.792225061,-0.228301892,-0.031794768,1.473124727,2.064672079,2.277180653,-9.196231497,8.65449786,5.743649025,2.332124449,2.271736226
Grenada,GRD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.34212396,6.445223147,3.739603956,4.438675669,4.361440394,0.676511739,-13.75662226,4.687478169,7.320740616,4.679761816,3.693059328
Greenland,GRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.742135673,-2.529318024,4.68195411,0.052728183,0.623065429,2.832177568,0.250789762,1.63409411,2.004555809,0.865961987,
Guatemala,GTM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.44397783,4.092170721,2.677802733,3.079851271,3.406873465,4.017897934,-1.785551945,8.041703837,4.184518087,3.533156701,3.651864629
Guam,GUM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.793051924,0.825688073,0.181983621,0.890099909,-0.828231905,2.523602033,-10.51885957,2.058183257,5.099864262,,
Guyana,GUY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.68649445,0.687404591,3.807456264,3.734491546,4.440912885,5.352840035,43.47965172,20.05999756,63.33463437,33.79501112,43.37200948
High income,HIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.152438531,2.34360859,1.826358942,2.472115168,2.368536263,1.913669413,-3.874515987,5.843371454,3.00327835,1.821328486,1.926998288
"Hong Kong SAR, China",HKG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.762430301,2.387783395,2.175436928,3.796113581,2.846934576,-1.672395165,-6.544783202,6.454424733,-3.683751417,3.214489017,2.541197539
Honduras,HND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.058080562,3.840079971,3.892972197,4.842913911,3.84499477,2.559634346,-8.965082233,12.56528438,4.14356194,3.575847605,3.553970033
Heavily indebted poor countries (HIPC),HPC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.609676398,4.926056062,4.450955328,5.0267872,4.234449959,4.467945975,0.239495193,4.241882915,4.992135935,3.481205558,5.243779523
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.557150197,2.323175158,3.461129474,3.280958121,2.904681493,3.100439114,-8.311642579,12.63170033,7.287936432,3.302544881,3.814945217
Haiti,HTI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.888772509,1.400000009,1.812468078,2.510271345,1.667810955,-1.723096998,-3.30550547,-1.798239889,-1.681983969,-1.863884203,-4.169633958
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.334353641,3.659816154,2.438641413,4.124183895,5.606138138,5.077184951,-4.3387254,7.222915808,4.270347552,-0.842528841,0.512305791
IBRD only,IBD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.843405268,4.385941657,4.54607502,5.229673026,4.959699893,4.038930981,-1.249100268,7.624248969,3.735622516,4.82049142,4.313820387
IDA & IBRD total,IBT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.888260158,4.312034254,4.446219402,5.133629351,4.913963334,4.036007543,-1.219681221,7.384404843,3.782779701,4.685911207,4.306754137
IDA total,IDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.420404184,3.440019614,3.257274426,3.975798545,4.355948456,4.000133396,-0.858539024,4.451726221,4.376904626,3.000776529,4.216711516
IDA blend,IDB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.743760338,3.836712022,2.274977421,2.771253007,3.865219105,3.020933527,-1.418325389,5.264579167,4.365410161,2.736966647,3.870820166
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.006668426,4.8763223,5.033069183,5.069785901,5.17429154,5.01928768,-2.065511829,3.702885628,5.307197227,5.049023318,5.030344694
IDA only,IDX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.088604848,3.030431452,4.27944114,5.205140873,4.845193389,4.967246492,-0.315913886,3.672506495,4.388092702,3.257498651,4.551613004
Isle of Man,IMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.155099837,-0.385866882,6.952302849,2.837758071,2.213397539,0.254877847,-8.836816975,3.837836323,-4.165393452,,
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.410227605,7.996253786,8.256305502,6.795383419,6.453851345,3.871436941,-5.777724707,9.689592492,7.609364978,9.19075493,6.48422363
Not classified,INX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.33603375,24.6155699,1.222638492,10.04962848,7.544342141,5.040549962,7.1578988,16.25561352,8.619503456,-5.530007389,1.221334299
"Iran, Islamic Rep.",IRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.984775067,-1.424884939,8.815086643,2.758505246,-1.838007571,-3.070587985,3.330288459,4.719777732,3.776631402,5.044890195,3.040000309
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.263688176,2.606766429,13.78737302,-1.819750351,2.633850991,5.513790575,-12.03679309,1.50218071,7.95904805,0.517705525,-1.545251983
Iceland,ISL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.687215035,4.436663739,6.303687125,4.194948789,4.889173002,1.861177946,-6.940453068,5.033406131,8.978970852,5.646461819,0.516863122
