economy,year,economy_code,unemployment_with_basic_education_(%_of_total_labor_force_with_basic_education),education_level,unemployment_with_intermediate_education_(%_of_total_labor_force_with_intermediate_education),unemployment_with_advanced_education_(%_of_total_labor_force_with_advanced_education)
Trinidad and Tobago,2023,TTO,,Intermediate,3.577,
Tunisia,2023,TUN,,Intermediate,12.566,
Turkiye,2024,TUR,,Intermediate,10.408,
Turkmenistan,2024,TKM,,Intermediate,,
Turks and Caicos Islands,2024,TCA,,Intermediate,,
Tuvalu,2022,TUV,,Intermediate,9.212,
Uganda,2021,UGA,,Intermediate,5.532,
Ukraine,2021,UKR,,Intermediate,10.143,
United Arab Emirates,2023,ARE,,Intermediate,2.786,
United Kingdom,2024,GBR,,Intermediate,5.421,
United States,2024,USA,,Intermediate,5.442,
Uruguay,2024,URY,,Intermediate,8.258,
Uzbekistan,2020,UZB,,Intermediate,6.222,
Vanuatu,2020,VUT,,Intermediate,5.027,
"Venezuela, RB",2017,VEN,,Intermediate,5.744,
Vietnam,2023,VNM,,Intermediate,1.924,
Virgin Islands (U.S.),2024,VIR,,Intermediate,,
West Bank and Gaza,2024,PSE,,Intermediate,27.11,
"Yemen, Rep.",2024,YEM,,Intermediate,,
Zambia,2023,ZMB,,Intermediate,11.021,
Zimbabwe,2023,ZWE,,Intermediate,11.225,
Afghanistan,2021,AFG,,Advanced,,9.797
Albania,2023,ALB,,Advanced,,8.947
Algeria,2024,DZA,,Advanced,,
American Samoa,2024,ASM,,Advanced,,
Andorra,2024,AND,,Advanced,,
Angola,2021,AGO,,Advanced,,17.111
Antigua and Barbuda,2023,ATG,,Advanced,,5.55
Argentina,2024,ARG,,Advanced,,0.708
Armenia,2023,ARM,,Advanced,,7.505
Aruba,2024,ABW,,Advanced,,
Australia,2024,AUS,,Advanced,,2.468
Austria,2024,AUT,,Advanced,,3.609
Azerbaijan,2022,AZE,,Advanced,,5.11
"Bahamas, The",2023,BHS,,Advanced,,3.101
Bahrain,2024,BHR,,Advanced,,
Bangladesh,2023,BGD,,Advanced,,10.798
Barbados,2023,BRB,,Advanced,,2.926
Belarus,2023,BLR,,Advanced,,2.204
Belgium,2024,BEL,,Advanced,,3.089
Belize,2019,BLZ,,Advanced,,7.019
Benin,2022,BEN,,Advanced,,10.297
Bermuda,2024,BMU,,Advanced,,
Bhutan,2024,BTN,,Advanced,,5.761
Bolivia,2024,BOL,,Advanced,,4.375
Bosnia and Herzegovina,2023,BIH,,Advanced,,8.598
Botswana,2024,BWA,,Advanced,,19.885
Brazil,2024,BRA,,Advanced,,3.826
British Virgin Islands,2024,VGB,,Advanced,,
Brunei Darussalam,2023,BRN,,Advanced,,6.138
Bulgaria,2024,BGR,,Advanced,,1.616
Burkina Faso,2024,BFA,,Advanced,,14.688
Burundi,2020,BDI,,Advanced,,9.208
Cabo Verde,2019,CPV,,Advanced,,7.13
Cambodia,2019,KHM,,Advanced,,0.982
Cameroon,2021,CMR,,Advanced,,18.774
Canada,2024,CAN,,Advanced,,4.933
Cayman Islands,2015,CYM,,Advanced,,2.52
Central African Republic,2024,CAF,,Advanced,,
Chad,2018,TCD,,Advanced,,7.576
Channel Islands,2024,CHI,,Advanced,,
Chile,2024,CHL,,Advanced,,7.128
China,2024,CHN,,Advanced,,
Colombia,2024,COL,,Advanced,,10.024
Comoros,2021,COM,,Advanced,,10.969
"Congo, Dem. Rep.",2020,COD,,Advanced,,5.496
"Congo, Rep.",2024,COG,,Advanced,,
Costa Rica,2024,CRI,,Advanced,,5.101
Cote d'Ivoire,2022,CIV,,Advanced,,10.51
Croatia,2024,HRV,,Advanced,,3.295
Cuba,2024,CUB,,Advanced,,
Curacao,2020,CUW,,Advanced,,10.58
Cyprus,2024,CYP,,Advanced,,3.982
Czechia,2024,CZE,,Advanced,,1.392
Denmark,2024,DNK,,Advanced,,4.683
Djibouti,2017,DJI,,Advanced,,16.29
Dominica,2024,DMA,,Advanced,,
Dominican Republic,2024,DOM,,Advanced,,3.475
Ecuador,2024,ECU,,Advanced,,5.897
"Egypt, Arab Rep.",2023,EGY,,Advanced,,14.175
El Salvador,2023,SLV,,Advanced,,3.844
Equatorial Guinea,2024,GNQ,,Advanced,,
Eritrea,2024,ERI,,Advanced,,
Estonia,2024,EST,,Advanced,,4.658
Eswatini,2023,SWZ,,Advanced,,22.772
Ethiopia,2021,ETH,,Advanced,,10.561
Faroe Islands,2024,FRO,,Advanced,,
Fiji,2024,FJI,,Advanced,,5.014
Finland,2024,FIN,,Advanced,,4.516
France,2024,FRA,,Advanced,,5.016
French Polynesia,2024,PYF,,Advanced,,
Gabon,2024,GAB,,Advanced,,
